ISO	variable	value	realValue	typeIneq	desc	norm1	norm2
EST	HS_SFRH_age_young	1.128	12.8463478088378	young	On average, in Estonia young adults are 12.8% more likely than the middle-aged to rate their health as "good" or "very good".	0.210637405514717	0.263472884893417
FIN	HS_SFRH_age_young	1.044	4.39952421188354	young	On average, in Finland young adults are 4.4% more likely than the middle-aged to rate their health as "good" or "very good".	0.0721375793218613	0.0902322828769684
FRA	HS_SFRH_age_young	1.115	11.4532022476196	young	On average, in France young adults are 11.5% more likely than the middle-aged to rate their health as "good" or "very good".	0.18779444694519	0.234900072216988
GBR	HS_SFRH_age_young	1.077	7.65432119369506	young	On average, in the United Kingdom young adults are 7.7% more likely than the middle-aged to rate their health as "good" or "very good".	0.125505432486534	0.156986713409424
GRC	HS_SFRH_age_young	1.051	5.1391863822937	young	On average, in Greece young adults are 5.1% more likely than the middle-aged to rate their health as "good" or "very good".	0.0842655748128891	0.105402424931526
HUN	HS_SFRH_age_young	1.124	12.3947048187255	young	On average, in Hungary young adults are 12.4% more likely than the middle-aged to rate their health as "good" or "very good".	0.203231960535049	0.254209876060486
IRL	HS_SFRH_age_young	1.059	5.92841148376464	young	On average, in Ireland young adults are 5.9% more likely than the middle-aged to rate their health as "good" or "very good".	0.097206249833107	0.121589079499245
ISL	HS_SFRH_age_young	0.975	2.45901632308959	young	On average, in Iceland young adults are 2.5% less likely than the middle-aged to rate their health as "good" or "very good".	-0.0403196960687637	-0.0504333302378654
ISR	HS_SFRH_age_young			young			
ITA	HS_SFRH_age_young	1.092	9.17431163787841	young	On average, in Italy young adults are 9.2% more likely than the middle-aged to rate their health as "good" or "very good".	0.150428220629692	0.188161045312881
JPN	HS_SFRH_age_young	1.254	25.4117641448974	young	On average, in Japan young adults are 25.4% more likely than the middle-aged to rate their health as "good" or "very good".	0.416668474674225	0.521183967590332
KOR	HS_SFRH_age_young	1.488	48.7577629089355	young	On average, in Korea young adults are 48.8% more likely than the middle-aged to rate their health as "good" or "very good".	0.799465298652648	1
LUX	HS_SFRH_age_young	1.087	8.71670722961425	young	On average, in Luxembourg young adults are 8.7% more likely than the middle-aged to rate their health as "good" or "very good".	0.142925024032593	0.178775787353516
LVA	HS_SFRH_age_young	1.224	22.3922119140625	young	On average, in Latvia young adults are 22.4% more likely than the middle-aged to rate their health as "good" or "very good".	0.367157846689224	0.459254294633865
MEX	HS_SFRH_age_young			young			
NLD	HS_SFRH_age_young	1.026	2.64976954460144	young	On average, in the Netherlands young adults are 2.6% more likely than the middle-aged to rate their health as "good" or "very good".	0.0434474162757397	0.0543455928564072
NOR	HS_SFRH_age_young	1.024	2.35294127464294	young	On average, in Norway young adults are 2.4% more likely than the middle-aged to rate their health as "good" or "very good".	0.0385804176330566	0.0482577793300152
NZL	HS_SFRH_age_young			young			
OECD	HS_SFRH_age_young	1.103	10.2861738204956	young	In the average OECD country, young adults are 10.3% more likely than the middle-aged to rate their health as "good" or "very good".	0.168659061193466	0.210964843630791
POL	HS_SFRH_age_young	1.123	12.3353290557861	young	On average, in Poland young adults are 12.3% more likely than the middle-aged to rate their health as "good" or "very good".	0.202258408069611	0.25299209356308
PRT	HS_SFRH_age_young	1.172	17.1830978393554	young	On average, in Portugal young adults are 17.2% more likely than the middle-aged to rate their health as "good" or "very good".	0.281745702028275	0.352417677640915
SVK	HS_SFRH_age_young	1.092	9.20598411560058	young	On average, in the Slovak Republic young adults are 9.2% more likely than the middle-aged to rate their health as "good" or "very good".	0.150947540998459	0.188810631632805
SVN	HS_SFRH_age_young	1.109	10.8851671218872	young	On average, in Slovenia young adults are 10.9% more likely than the middle-aged to rate their health as "good" or "very good".	0.178480565547943	0.223249927163124
SWE	HS_SFRH_age_young	1.028	2.77136254310607	young	On average, in Sweden young adults are 2.8% more likely than the middle-aged to rate their health as "good" or "very good".	0.045441135764122	0.0568394102156162
TUR	HS_SFRH_age_young	1.171	17.095115661621	young	On average, in Turkey young adults are 17.1% more likely than the middle-aged to rate their health as "good" or "very good".	0.280303090810776	0.350613206624985
USA	HS_SFRH_age_young			young			
AUS	IW_HADI_age_young	0.91	9.04422187805175	young	On average, in Australia the income of young adults is 9% lower than that of the middle-aged.	-0.199701383709908	-0.385644197463989
AUT	IW_HADI_age_young	0.902	9.82053279876708	young	On average, in Austria the income of young adults is 9.8% lower than that of the middle-aged.	-0.216842740774155	-0.418745964765549
BEL	IW_HADI_age_young	0.919	8.12932014465332	young	On average, in Belgium the income of young adults is 8.1% lower than that of the middle-aged.	-0.179499849677086	-0.346632927656174
CAN	IW_HADI_age_young	0.938	6.18205833435058	young	On average, in Canada the income of young adults is 6.2% lower than that of the middle-aged.	-0.136503234505653	-0.263601988554001
CHE	IW_HADI_age_young	0.897	10.3284187316894	young	On average, in Switzerland the income of young adults is 10.3% lower than that of the middle-aged.	-0.228057146072388	-0.440402150154114
CHL	IW_HADI_age_young	0.81	19.0133571624755	young	On average, in Chile the income of young adults is 19% lower than that of the middle-aged.	-0.419825345277786	-0.810726583003997
CZE	IW_HADI_age_young	0.908	9.22056293487548	young	On average, in the Czech Republic the income of young adults is 9.2% lower than that of the middle-aged.	-0.203595086932182	-0.393163353204727
DEU	IW_HADI_age_young	0.893	10.6908550262451	young	On average, in Germany the income of young adults is 10.7% lower than that of the middle-aged.	-0.236059933900833	-0.455856382846832
DNK	IW_HADI_age_young	0.913	8.67866420745849	young	On average, in Denmark the income of young adults is 8.7% lower than that of the middle-aged.	-0.191629663109779	-0.370056867599487
ESP	IW_HADI_age_young	0.92	8.04331684112548	young	On average, in Spain the income of young adults is 8% lower than that of the middle-aged.	-0.177600845694542	-0.34296578168869
EST	IW_HADI_age_young	0.915	8.54065132141113	young	On average, in Estonia the income of young adults is 8.5% lower than that of the middle-aged.	-0.188582256436348	-0.364172041416168
FIN	IW_HADI_age_young	0.903	9.68212795257568	young	On average, in Finland the income of young adults is 9.7% lower than that of the middle-aged.	-0.213786691427231	-0.41284441947937
FRA	IW_HADI_age_young	0.936	6.38029479980468	young	On average, in France the income of young adults is 6.4% lower than that of the middle-aged.	-0.140880405902863	-0.272054761648178
GBR	IW_HADI_age_young	0.852	14.7785520553588	young	On average, in the United Kingdom the income of young adults is 14.8% lower than that of the middle-aged.	-0.32631853222847	-0.630155146121978
GRC	IW_HADI_age_young	0.917	8.27285099029541	young	On average, in Greece the income of young adults is 8.3% lower than that of the middle-aged.	-0.182669088244438	-0.352753072977066
HUN	IW_HADI_age_young	0.893	10.7207651138305	young	On average, in Hungary the income of young adults is 10.7% lower than that of the middle-aged.	-0.236720368266106	-0.457131743431091
IRL	IW_HADI_age_young	0.887	11.3180713653564	young	On average, in Ireland the income of young adults is 11.3% lower than that of the middle-aged.	-0.249909222126007	-0.482600778341293
ISL	IW_HADI_age_young	0.978	2.24008131027221	young	On average, in Iceland the income of young adults is 2.2% lower than that of the middle-aged.	-0.0494622215628624	-0.0955167189240456
ISR	IW_HADI_age_young	0.882	11.8195714950561	young	On average, in Israel the income of young adults is 11.8% lower than that of the middle-aged.	-0.260982632637024	-0.503984689712524
ITA	IW_HADI_age_young	0.924	7.57312870025634	young	On average, in Italy the income of young adults is 7.6% lower than that of the middle-aged.	-0.167218834161758	-0.322917014360428
JPN	IW_HADI_age_young	0.911	8.89179134368896	young	On average, in Japan the income of young adults is 8.9% lower than that of the middle-aged.	-0.196335628628731	-0.379144579172134
KOR	IW_HADI_age_young	0.765	23.4522438049316	young	On average, in Korea the income of young adults is 23.5% lower than that of the middle-aged.	-0.517838418483734	-1
LUX	IW_HADI_age_young	0.923	7.66177606582641	young	On average, in Luxembourg the income of young adults is 7.7% lower than that of the middle-aged.	-0.16917622089386	-0.326696932315826
LVA	IW_HADI_age_young	0.881	11.9495506286621	young	On average, in Latvia the income of young adults is 11.9% lower than that of the middle-aged.	-0.263852626085281	-0.509526968002319
MEX	IW_HADI_age_young	0.827	17.31787109375	young	On average, in Mexico the income of young adults is 17.3% lower than that of the middle-aged.	-0.382388085126877	-0.738431334495544
NLD	IW_HADI_age_young	0.916	8.35799407958984	young	On average, in the Netherlands the income of young adults is 8.4% lower than that of the middle-aged.	-0.18454909324646	-0.356383562088013
NOR	IW_HADI_age_young	0.927	7.2803144454956	young	On average, in Norway the income of young adults is 7.3% lower than that of the middle-aged.	-0.160753339529037	-0.310431480407715
NZL	IW_HADI_age_young	0.851	14.9082059860229	young	On average, in New Zealand the income of young adults is 14.9% lower than that of the middle-aged.	-0.329181373119354	-0.635683596134185
OECD	IW_HADI_age_young	0.896	10.3903408050537	young	In the average OECD country, the income of young adults is 10.4% lower than that of the middle-aged.	-0.22942441701889	-0.443042516708374
POL	IW_HADI_age_young	0.907	9.30481624603271	young	On average, in Poland the income of young adults is 9.3% lower than that of the middle-aged.	-0.205455437302589	-0.396755903959274
PRT	IW_HADI_age_young	0.917	8.25553226470947	young	On average, in Portugal the income of young adults is 8.3% lower than that of the middle-aged.	-0.18228667974472	-0.352014601230621
SVK	IW_HADI_age_young	0.89	11.0094299316406	young	On average, in the Slovak Republic the income of young adults is 11% lower than that of the middle-aged.	-0.243094250559807	-0.469440370798111
SVN	IW_HADI_age_young	0.977	2.27849960327148	young	On average, in Slovenia the income of young adults is 2.3% lower than that of the middle-aged.	-0.0503105185925961	-0.09715486317873
SWE	IW_HADI_age_young	0.942	5.77416658401489	young	On average, in Sweden the income of young adults is 5.8% lower than that of the middle-aged.	-0.127496764063835	-0.246209561824799
TUR	IW_HADI_age_young	0.797	20.2900943756103	young	On average, in Turkey the income of young adults is 20.3% lower than that of the middle-aged.	-0.448016405105591	-0.865166425704956
USA	IW_HADI_age_young	0.835	16.4522342681884	young	On average, in the United States the income of young adults is 16.5% lower than that of the middle-aged.	-0.363274365663528	-0.701520681381225
AUS	IW_HNFW_age_young	0.316	68.3833389282226	young	On average, in Australia the net wealth of young adults is 68.4% lower than that of the middle-aged.	-0.550739645957946	-0.758492410182952
AUT	IW_HNFW_age_young	0.197	80.3174591064453	young	On average, in Austria the net wealth of young adults is 80.3% lower than that of the middle-aged.	-0.646853566169738	-0.890862941741943
BEL	IW_HNFW_age_young	0.492	50.8375587463378	young	On average, in Belgium the net wealth of young adults is 50.8% lower than that of the middle-aged.	-0.409430980682373	-0.56387859582901
CAN	IW_HNFW_age_young	0.3	69.989013671875	young	On average, in Canada the net wealth of young adults is 70% lower than that of the middle-aged.	-0.563671290874481	-0.77630215883255
CHE	IW_HNFW_age_young			young			
CHL	IW_HNFW_age_young	0.434	56.5968055725097	young	On average, in Chile the net wealth of young adults is 56.6% lower than that of the middle-aged.	-0.455814301967621	-0.627758860588073
CZE	IW_HNFW_age_young			young			
DEU	IW_HNFW_age_young	0.212	78.7687911987304	young	On average, in Germany the net wealth of young adults is 78.8% lower than that of the middle-aged.	-0.634381055831909	-0.873685479164123
DNK	IW_HNFW_age_young	0.223	77.7383499145507	young	On average, in Denmark the net wealth of young adults is 77.7% lower than that of the middle-aged.	-0.626082181930541	-0.862256050109863
ESP	IW_HNFW_age_young	0.487	51.3079643249511	young	On average, in Spain the net wealth of young adults is 51.3% lower than that of the middle-aged.	-0.413219511508942	-0.569096207618713
EST	IW_HNFW_age_young	0.356	64.3818740844726	young	On average, in Estonia the net wealth of young adults is 64.4% lower than that of the middle-aged.	-0.518512964248657	-0.714109063148498
FIN	IW_HNFW_age_young	0.25	75.0293960571289	young	On average, in Finland the net wealth of young adults is 75% lower than that of the middle-aged.	-0.60426503419876	-0.832208931446075
FRA	IW_HNFW_age_young	0.294	70.5648574829101	young	On average, in France the net wealth of young adults is 70.6% lower than that of the middle-aged.	-0.56830894947052	-0.782689273357391
GBR	IW_HNFW_age_young	0.308	69.1770248413085	young	On average, in the United Kingdom the net wealth of young adults is 69.2% lower than that of the middle-aged.	-0.557131767272949	-0.767295777797698
GRC	IW_HNFW_age_young	0.467	53.3450469970703	young	On average, in Greece the net wealth of young adults is 53.3% lower than that of the middle-aged.	-0.429625570774078	-0.591691076755523
HUN	IW_HNFW_age_young	0.534	46.6255378723144	young	On average, in Hungary the net wealth of young adults is 46.6% lower than that of the middle-aged.	-0.375508606433868	-0.517159819602966
IRL	IW_HNFW_age_young			young			
ISL	IW_HNFW_age_young			young			
ISR	IW_HNFW_age_young			young			
ITA	IW_HNFW_age_young	0.395	60.5105438232421	young	On average, in Italy the net wealth of young adults is 60.5% lower than that of the middle-aged.	-0.487334430217743	-0.671169161796569
JPN	IW_HNFW_age_young			young			
KOR	IW_HNFW_age_young	0.462	53.841796875	young	On average, in Korea the net wealth of young adults is 53.8% lower than that of the middle-aged.	-0.433626264333725	-0.59720093011856
LUX	IW_HNFW_age_young	0.389	61.1303024291992	young	On average, in Luxembourg the net wealth of young adults is 61.1% lower than that of the middle-aged.	-0.492325782775879	-0.678043365478515
LVA	IW_HNFW_age_young	0.659	34.0770797729492	young	On average, in Latvia the net wealth of young adults is 34.1% lower than that of the middle-aged.	-0.274446934461594	-0.377975195646286
MEX	IW_HNFW_age_young			young			
NLD	IW_HNFW_age_young	0.098	90.1569213867187	young	On average, in the Netherlands the net wealth of young adults is 90.2% lower than that of the middle-aged.	-0.726097762584686	-1
NOR	IW_HNFW_age_young	0.24	76.0367279052734	young	On average, in Norway the net wealth of young adults is 76% lower than that of the middle-aged.	-0.612377822399139	-0.843382060527801
NZL	IW_HNFW_age_young	0.332	66.7636184692382	young	On average, in New Zealand the net wealth of young adults is 66.8% lower than that of the middle-aged.	-0.537694871425628	-0.740526795387268
OECD	IW_HNFW_age_young	0.372	62.8338470458984	young	In the average OECD country, the net wealth of young adults is 62.8% lower than that of the middle-aged.	-0.506045639514923	-0.696938693523406
POL	IW_HNFW_age_young	0.511	48.8606758117675	young	On average, in Poland the net wealth of young adults is 48.9% lower than that of the middle-aged.	-0.393509745597839	-0.541951477527618
PRT	IW_HNFW_age_young	0.532	46.7894020080566	young	On average, in Portugal the net wealth of young adults is 46.8% lower than that of the middle-aged.	-0.37682831287384	-0.518977344036102
SVK	IW_HNFW_age_young	0.627	37.3151054382324	young	On average, in the Slovak Republic the net wealth of young adults is 37.3% lower than that of the middle-aged.	-0.300525069236755	-0.41389063000679
SVN	IW_HNFW_age_young	0.37	63.0378875732421	young	On average, in Slovenia the net wealth of young adults is 63% lower than that of the middle-aged.	-0.50768893957138	-0.699201881885528
SWE	IW_HNFW_age_young			young			
TUR	IW_HNFW_age_young			young			
USA	IW_HNFW_age_young	0.179	82.096923828125	young	On average, in the United States the net wealth of young adults is 82.1% lower than that of the middle-aged.	-0.661184847354888	-0.910600364208221
AUS	JE_EMP_age_young	0.356	181.262756347656	young	On average, in Australia young adults are 181.3% more likely than the middle-aged to be unemployed.	-0.215401247143745	-0.695202529430389
AUT	JE_EMP_age_young	0.482	107.373916625976	young	On average, in Austria young adults are 107.4% more likely than the middle-aged to be unemployed.	-0.127596408128738	-0.411814451217651
BEL	JE_EMP_age_young	0.353	183.000823974609	young	On average, in Belgium young adults are 183% more likely than the middle-aged to be unemployed.	-0.217466667294502	-0.701868593692779
CAN	JE_EMP_age_young	0.455	119.8408203125	young	On average, in Canada young adults are 119.8% more likely than the middle-aged to be unemployed.	-0.142411291599274	-0.459629148244858
CHE	JE_EMP_age_young	0.55	81.7486877441406	young	On average, in Switzerland young adults are 81.7% more likely than the middle-aged to be unemployed.	-0.0971449986100197	-0.313533216714859
CHL	JE_EMP_age_young	0.385	159.441940307617	young	On average, in Chile young adults are 159.4% more likely than the middle-aged to be unemployed.	-0.189470767974854	-0.61151248216629
CZE	JE_EMP_age_young	0.337	196.465362548828	young	On average, in the Czech Republic young adults are 196.5% more likely than the middle-aged to be unemployed.	-0.233467072248459	-0.753509581089019
DEU	JE_EMP_age_young	0.554	80.5775299072265	young	On average, in Germany young adults are 80.6% more likely than the middle-aged to be unemployed.	-0.0957532674074173	-0.309041440486908
DNK	JE_EMP_age_young	0.462	116.678527832031	young	On average, in Denmark young adults are 116.7% more likely than the middle-aged to be unemployed.	-0.138653412461281	-0.447500705718994
ESP	JE_EMP_age_young	0.41	143.972503662109	young	On average, in Spain young adults are 144% more likely than the middle-aged to be unemployed.	-0.171087861061096	-0.552182137966156
EST	JE_EMP_age_young	0.462	116.35073852539	young	On average, in Estonia young adults are 116.4% more likely than the middle-aged to be unemployed.	-0.138263896107674	-0.446243524551392
FIN	JE_EMP_age_young	0.388	157.67234802246	young	On average, in Finland young adults are 157.7% more likely than the middle-aged to be unemployed.	-0.187367901206017	-0.604725539684295
FRA	JE_EMP_age_young	0.357	180.260513305664	young	On average, in France young adults are 180.3% more likely than the middle-aged to be unemployed.	-0.214210242033005	-0.691358625888824
GBR	JE_EMP_age_young	0.277	260.733734130859	young	On average, in the United Kingdom young adults are 260.7% more likely than the middle-aged to be unemployed.	-0.30983954668045	-1
GRC	JE_EMP_age_young	0.482	107.287933349609	young	On average, in Greece young adults are 107.3% more likely than the middle-aged to be unemployed.	-0.127494230866432	-0.411484658718109
HUN	JE_EMP_age_young	0.35	185.403686523437	young	On average, in Hungary young adults are 185.4% more likely than the middle-aged to be unemployed.	-0.220322072505951	-0.711084365844726
IRL	JE_EMP_age_young	0.415	140.735046386718	young	On average, in Ireland young adults are 140.7% more likely than the middle-aged to be unemployed.	-0.167240664362907	-0.539765417575836
ISL	JE_EMP_age_young	0.38	162.966903686523	young	On average, in Iceland young adults are 163% more likely than the middle-aged to be unemployed.	-0.193659618496895	-0.625031888484954
ISR	JE_EMP_age_young	0.489	104.648849487304	young	On average, in Israel young adults are 104.6% more likely than the middle-aged to be unemployed.	-0.124358110129833	-0.401362895965576
ITA	JE_EMP_age_young	0.294	239.873336791992	young	On average, in Italy young adults are 239.9% more likely than the middle-aged to be unemployed.	-0.285050362348557	-0.919993460178375
JPN	JE_EMP_age_young	0.61	63.9994392395019	young	On average, in Japan young adults are 64% more likely than the middle-aged to be unemployed.	-0.0760529041290283	-0.245458990335464
KOR	JE_EMP_age_young	0.32	212.712631225585	young	On average, in Korea young adults are 212.7% more likely than the middle-aged to be unemployed.	-0.252774298191071	-0.815823197364807
LUX	JE_EMP_age_young	0.534	87.2281265258789	young	On average, in Luxembourg young adults are 87.2% more likely than the middle-aged to be unemployed.	-0.10365641862154	-0.334548681974411
LVA	JE_EMP_age_young	0.568	76.0218429565429	young	On average, in Latvia young adults are 76% more likely than the middle-aged to be unemployed.	-0.0903395712375641	-0.291568875312805
MEX	JE_EMP_age_young	0.435	129.657501220703	young	On average, in Mexico young adults are 129.7% more likely than the middle-aged to be unemployed.	-0.154076814651489	-0.497279345989227
NLD	JE_EMP_age_young	0.427	133.939361572265	young	On average, in the Netherlands young adults are 133.9% more likely than the middle-aged to be unemployed.	-0.159165114164352	-0.513701677322387
NOR	JE_EMP_age_young	0.396	152.371276855468	young	On average, in Norway young adults are 152.4% more likely than the middle-aged to be unemployed.	-0.181068435311317	-0.58439415693283
NZL	JE_EMP_age_young	0.295	239.28987121582	young	On average, in New Zealand young adults are 239.3% more likely than the middle-aged to be unemployed.	-0.284357011318207	-0.917755722999572
OECD	JE_EMP_age_young	0.416	140.223815917968	young	In the average OECD country, young adults are 140.2% more likely than the middle-aged to be unemployed.	-0.166633158922195	-0.537804663181304
POL	JE_EMP_age_young	0.306	227.106613159179	young	On average, in Poland young adults are 227.1% more likely than the middle-aged to be unemployed.	-0.269879192113876	-0.871028900146484
PRT	JE_EMP_age_young	0.359	178.661468505859	young	On average, in Portugal young adults are 178.7% more likely than the middle-aged to be unemployed.	-0.212310045957565	-0.68522572517395
SVK	JE_EMP_age_young	0.388	157.509140014648	young	On average, in the Slovak Republic young adults are 157.5% more likely than the middle-aged to be unemployed.	-0.187173947691917	-0.604099571704864
SVN	JE_EMP_age_young	0.508	96.7184600830078	young	On average, in Slovenia young adults are 96.7% more likely than the middle-aged to be unemployed.	-0.114934131503105	-0.370947241783142
SWE	JE_EMP_age_young	0.289	246.386444091796	young	On average, in Sweden young adults are 246.4% more likely than the middle-aged to be unemployed.	-0.292790144681931	-0.944973409175872
TUR	JE_EMP_age_young	0.497	101.404434204101	young	On average, in Turkey young adults are 101.4% more likely than the middle-aged to be unemployed.	-0.120502650737762	-0.388919502496719
USA	JE_EMP_age_young	0.398	151.336334228515	young	On average, in the United States young adults are 151.3% more likely than the middle-aged to be unemployed.	-0.179838567972183	-0.580424845218658
AUS	JE_EMPL_age_young	0.733	26.7390441894531	young	On average, in Australia young adults are 26.7% less likely than the middle-aged to be employed.	-0.332950741052628	-0.332950741052628
AUT	JE_EMPL_age_young	0.61	38.9716567993164	young	On average, in Austria young adults are 39% less likely than the middle-aged to be employed.	-0.485269457101822	-0.485269457101822
BEL	JE_EMPL_age_young	0.287	71.2547912597656	young	On average, in Belgium young adults are 71.3% less likely than the middle-aged to be employed.	-0.887254416942596	-0.887254416942596
CAN	JE_EMPL_age_young	0.681	31.9324054718017	young	On average, in Canada young adults are 31.9% less likely than the middle-aged to be employed.	-0.397617727518082	-0.397617727518082
CHE	JE_EMPL_age_young	0.724	27.5918159484863	young	On average, in Switzerland young adults are 27.6% less likely than the middle-aged to be employed.	-0.343569338321686	-0.343569338321686
CHL	JE_EMPL_age_young	0.39	61.006046295166	young	On average, in Chile young adults are 61% less likely than the middle-aged to be employed.	-0.759638547897338	-0.759638547897338
CZE	JE_EMPL_age_young	0.334	66.618293762207	young	On average, in the Czech Republic young adults are 66.6% less likely than the middle-aged to be employed.	-0.829521417617797	-0.829521417617797
DEU	JE_EMPL_age_young	0.545	45.4623146057128	young	On average, in Germany young adults are 45.5% less likely than the middle-aged to be employed.	-0.5660902261734	-0.5660902261734
DNK	JE_EMPL_age_young	0.705	29.4501857757568	young	On average, in Denmark young adults are 29.5% less likely than the middle-aged to be employed.	-0.366709470748901	-0.366709470748901
ESP	JE_EMPL_age_young	0.287	71.2873611450195	young	On average, in Spain young adults are 71.3% less likely than the middle-aged to be employed.	-0.887659966945648	-0.887659966945648
EST	JE_EMPL_age_young	0.469	53.1230659484863	young	On average, in Estonia young adults are 53.1% less likely than the middle-aged to be employed.	-0.661480784416198	-0.661480784416198
FIN	JE_EMPL_age_young	0.542	45.8260688781738	young	On average, in Finland young adults are 45.8% less likely than the middle-aged to be employed.	-0.570619642734527	-0.570619642734527
FRA	JE_EMPL_age_young	0.352	64.8133163452148	young	On average, in France young adults are 64.8% less likely than the middle-aged to be employed.	-0.807046115398406	-0.807046115398406
GBR	JE_EMPL_age_young	0.648	35.2210731506347	young	On average, in the United Kingdom young adults are 35.2% less likely than the middle-aged to be employed.	-0.438567727804184	-0.438567727804184
GRC	JE_EMPL_age_young	0.197	80.3093109130859	young	On average, in Greece young adults are 80.3% less likely than the middle-aged to be employed.	-1	-1
HUN	JE_EMPL_age_young	0.342	65.8017807006835	young	On average, in Hungary young adults are 65.8% less likely than the middle-aged to be employed.	-0.81935429573059	-0.81935429573059
IRL	JE_EMPL_age_young	0.435	56.4944152832031	young	On average, in Ireland young adults are 56.5% less likely than the middle-aged to be employed.	-0.703460335731506	-0.703460335731506
ISL	JE_EMPL_age_young	0.861	13.9357643127441	young	On average, in Iceland young adults are 13.9% less likely than the middle-aged to be employed.	-0.173526138067245	-0.173526138067245
ISR	JE_EMPL_age_young	0.559	44.0569152832031	young	On average, in Israel young adults are 44.1% less likely than the middle-aged to be employed.	-0.54859036207199	-0.54859036207199
ITA	JE_EMPL_age_young	0.241	75.9495773315429	young	On average, in Italy young adults are 75.9% less likely than the middle-aged to be employed.	-0.945713222026824	-0.945713222026824
JPN	JE_EMPL_age_young	0.51	49.0343704223632	young	On average, in Japan young adults are 49% less likely than the middle-aged to be employed.	-0.610568940639495	-0.610568940639495
KOR	JE_EMPL_age_young	0.358	64.2221527099609	young	On average, in Korea young adults are 64.2% less likely than the middle-aged to be employed.	-0.799685001373291	-0.799685001373291
LUX	JE_EMPL_age_young	0.311	68.8707427978515	young	On average, in Luxembourg young adults are 68.9% less likely than the middle-aged to be employed.	-0.857568621635437	-0.857568621635437
LVA	JE_EMPL_age_young	0.414	58.6258735656738	young	On average, in Latvia young adults are 58.6% less likely than the middle-aged to be employed.	-0.730000972747802	-0.730000972747802
MEX	JE_EMPL_age_young	0.573	42.6936569213867	young	On average, in Mexico young adults are 42.7% less likely than the middle-aged to be employed.	-0.531615257263183	-0.531615257263183
NLD	JE_EMPL_age_young	0.733	26.6584644317626	young	On average, in the Netherlands young adults are 26.7% less likely than the middle-aged to be employed.	-0.331947356462479	-0.331947356462479
NOR	JE_EMPL_age_young	0.595	40.5121421813964	young	On average, in Norway young adults are 40.5% less likely than the middle-aged to be employed.	-0.504451394081115	-0.504451394081115
NZL	JE_EMPL_age_young	0.653	34.6629409790039	young	On average, in New Zealand young adults are 34.7% less likely than the middle-aged to be employed.	-0.431617975234985	-0.431617975234985
OECD	JE_EMPL_age_young	0.489	51.0959968566894	young	In the average OECD country, young adults are 51.1% less likely than the middle-aged to be employed.	-0.636240005493164	-0.636240005493164
POL	JE_EMPL_age_young	0.354	64.6313400268554	young	On average, in Poland young adults are 64.6% less likely than the middle-aged to be employed.	-0.804780185222625	-0.804780185222625
PRT	JE_EMPL_age_young	0.298	70.2023391723632	young	On average, in Portugal young adults are 70.2% less likely than the middle-aged to be employed.	-0.874149441719055	-0.874149441719055
SVK	JE_EMPL_age_young	0.315	68.4862670898437	young	On average, in the Slovak Republic young adults are 68.5% less likely than the middle-aged to be employed.	-0.852781176567077	-0.852781176567077
SVN	JE_EMPL_age_young	0.343	65.7339248657226	young	On average, in Slovenia young adults are 65.7% less likely than the middle-aged to be employed.	-0.818509399890899	-0.818509399890899
SWE	JE_EMPL_age_young	0.516	48.3938522338867	young	On average, in Sweden young adults are 48.4% less likely than the middle-aged to be employed.	-0.602593302726745	-0.602593302726745
TUR	JE_EMPL_age_young	0.568	43.195255279541	young	On average, in Turkey young adults are 43.2% less likely than the middle-aged to be employed.	-0.537861108779907	-0.537861108779907
USA	JE_EMPL_age_young	0.634	36.5913619995117	young	On average, in the United States young adults are 36.6% less likely than the middle-aged to be employed.	-0.455630391836166	-0.455630391836166
AUS	JE_PE_age_young	0.707	29.297285079956	young	On average, in Australia young adults earn 29.3% less than the middle-aged.	-0.40944117307663	-0.626971423625946
AUT	JE_PE_age_young	0.634	36.6217308044433	young	On average, in Austria young adults earn 36.6% less than the middle-aged.	-0.511803209781646	-0.783716976642608
BEL	JE_PE_age_young	0.735	26.483938217163	young	On average, in Belgium young adults earn 26.5% less than the middle-aged.	-0.370123535394669	-0.566764891147613
CAN	JE_PE_age_young	0.652	34.7732734680175	young	On average, in Canada young adults earn 34.8% less than the middle-aged.	-0.485970288515091	-0.744159400463104
CHE	JE_PE_age_young	0.533	46.7282600402832	young	On average, in Switzerland young adults earn 46.7% less than the middle-aged.	-0.653045952320098	-1
CHL	JE_PE_age_young	0.687	31.2696723937988	young	On average, in Chile young adults earn 31.3% less than the middle-aged.	-0.437006056308746	-0.669181168079376
CZE	JE_PE_age_young	0.821	17.9349288940429	young	On average, in the Czech Republic young adults earn 17.9% less than the middle-aged.	-0.250647753477097	-0.383813321590424
DEU	JE_PE_age_young	0.632	36.7883644104003	young	On average, in Germany young adults earn 36.8% less than the middle-aged.	-0.514131963253021	-0.78728300333023
DNK	JE_PE_age_young	0.636	36.416690826416	young	On average, in Denmark young adults earn 36.4% less than the middle-aged.	-0.508937716484069	-0.779329061508178
ESP	JE_PE_age_young	0.669	33.0568733215332	young	On average, in Spain young adults earn 33.1% less than the middle-aged.	-0.461982905864716	-0.707427859306335
EST	JE_PE_age_young	0.892	10.7847776412963	young	On average, in Estonia young adults earn 10.8% less than the middle-aged.	-0.150721535086632	-0.230797752737999
FIN	JE_PE_age_young	0.69	31.0409641265869	young	On average, in Finland young adults earn 31% less than the middle-aged.	-0.433809787034988	-0.664286732673645
